heroes,images,powers,abilities,movieAppearances,trivia,Actor
Agent Phil Coulson,images/AgentPhilCoulson.jpg,Bionic Enhancements/Enhanced Strenght,Expert Martial Artist/Expert Spy,Iron Man/Iron Man 2/Thor/The Avengers/Avengers: Age of Ultron/Captain Marvel,"""With appearances in Iron Man, Iron Man 2, Thor, The Consultant, A Funny Thing Happened on the Way to Thor's Hammer, The Avengers, all episodes of Agents of S.H.I.E.L.D. and Captain Marvel, Coulson has become the most featured character in the Marvel Cinematic Universe.""/""Coulson is often called by the name ""Son of Coul"" by Asgardians. This is because in Asgard, a man's last name is his father's first name with the word ""son"" appearing at the end.""/""Coulson enjoys playing the Call of Duty franchise of video games.""",Clark Gregg
Aldrich Killian,images/AldrichKillian.jpg,Superhuman Strength/Enhanced Agility/Fire Breath,Genius Level Intellect/Master Scientist,Iron Man 3,"""In the comics, Killian was one of the scientists who developed the Extremis virus, sending it to a terrorist group and committing suicide later on. However, Aldrich Killian's character in the movie is an amalgamation of the characters Aldrich Killian, Mallen and the modern version of Mandarin.""/""In the non-canon video game Iron Man 3 - The Official Game it is revealed that Killian's consciousness had been ""downloaded"" by A.I.M. prior to his physical death and uploaded into a new, enhanced form: M.O.D.O.K..""",Guy Pearce
Alexander Pierce,images/AlexanderPierce.png,None,None,Captain America: The Winter Soldier,"""In the comics, Alexander Pierce is a young S.H.I.E.L.D. field agent and the leader of one of the three teams of Caterpillars. The MCU version of the character is an amalgamation of the character with Aleksander Lukin, the Winter Soldier's handler. The World Security Council Secretary title is adapted from the comic book storyline where the Red Skull (under the guise of Dell Rusk) infiltrates the US Government and becomes the US Secretary of Defense with the intention to turn America into a fascist country.""/""Pierce is shown to have Newman's Own spaghetti sauce in his refrigerator. This is a reference to his actor famously working with Paul Newman.""/""Pierce mentions his father served in the 101st Airborne Division of paratroopers during World War II. In real life, Robert Redford portrayed WWII paratrooper Julian Cook in the 1977 film A Bridge Too Far, albeit of the 82nd Airborne Division.""",Robert Redford
Betty Ross,images/BettyRoss.jpg,None,None,The Incredible Hulk,"""In the comics, Betty Ross married Glenn Talbot and Bruce Banner, and eventually became Red She-Hulk.""/""Betty Ross is the only one of the Pre-Avengers love interests not to be featured or mentioned in The Avengers. Pepper Potts is featured, Peggy Carter is featured in flashbacks, and Jane Foster's photo is shown on a S.H.I.E.L.D. screen to Thor by Agent Phil Coulson.""/""During a press conference in support of Avengers: Age of Ultron, Joss Whedon has said that the reason why the Hulkbuster is named Veronica is a reference to Archie Comics character Veronica Lodge, who is a rival to Archie Comics character Betty Cooper""",Liv Tyler
Black Panther,images/BlackPanther.jpg,Heart-Shaped Herb Enhancement/Enhanced Features,Genius Level Intellect/Master Martial Artist,Captain America: Civil War/Spider-Man: Homecoming/Black Panther/Avengers: Infinity War/Avengers 4,"""In the comics, Black Panther was a member of the Avengers and member of the Illuminati, a group made of the smartest and most powerful characters in the Marvel Universe, including Blackagar Boltagon, Tony Stark, Bruce Banner, Medusa, Hank Pym and Stephen Strange.""/""Unlike in the comics, the mantle of the Black Panther is prescribed to the nation's greatest warrior instead of the King. T'Challa's role as both has led to much controversy within the Wakandan tribal structure.""",Chadwick Boseman/Ashton Tyler
Brock Rumlow,images/BrockRumlow.jpg,Enhanced Strength/Nigh-Immunity to Pain,Expert Tactician/Master Martial Artist,Captain America: The Winter Soldier/Captain America: Civil War/Avengers 4,"""In the comics, Crossbones is an agent of the Red Skull, and became romantically involved with his daughter Sin.""/""Rumlow's popular alias ""Crossbones"" was never mentioned in the film although being notified and identified as Crossbones.""/""In spite of the character's apparent suicide bombing in Civil War, Frank Grillo indicated that we haven't seen the last of the character; addressing his short filming schedule prior to the film's release.""",Frank Grillo
Bucky Barnes/Winter Soldier,images/BuckyBarnes.jpg,Bionic Arm/Superhuman Powers,Master Martial Artist/Master Marksmen,Captain America: The First Avenger/Captain America: The Winter Soldier/Avengers: Age of Ultron/Ant-Man/Captain America: Civil War/Spider-Man: Homecoming/Black Panther/Avengers Infinity War/Avengers 4,"""In the comics, James Buchanan ""Bucky"" Barnes, named after the 15th President of the United States of America, James Buchanan, had a complicated romantic relationship with Black Widow, and took over the mantle of Captain America after Steve Rogers was assassinated.""/""In Wakanda, Barnes is nicknamed ""White Wolf"" by the local population. In the comics it was the codename of Hunter, a foreigner adopted by King T'Chaka who became an anti-hero and the head of the Hatut Zeraze.""/""In Captain America: The First Avenger, Captain America: The Winter Soldier and Captain America: Civil War, Winter Soldier briefly uses Captain America's Shield, a reference to his role as Captain America's successor in the comics.""",Sebastian Stan
Christine Everhart,images/ChristineEverhart.png,None,None,Iron Man/Iron Man 2,"""In the comics, Christine Everhart is a reporter for the Daily Bugle, the same newspaper where Ben Urich and Peter Parker work.""/""Christine graduated from Brown University.""/""Everheart´s journalist credentials secure her invitations to major social and new events.""",Leslie Bibb
Col. Chester Phillips,images/ColChesterPhillips.png,None,Expert Strategist,Captain America: The First Avenger/Captain America: The Winter Soldier,"""In the comics, Phillps chose Steve Rogers personally for being the Super Soldier test subject, while General Saunders was contrary. In the movie, Phillips fills Saunders role as he opposes the choice until being convinced otherwise.""",Tommy Lee Jones
Darcy Lewis,images/DarcyLewis.jpg,None,Scientist,Thor/Thor: The Dark World,"""Darcy refers to Mjoinir as meowmeow.""",Kat Dennings
Darren Cross/Yellowjacket,images/DarrenCross.jpg,Size Alteration/Energy Pulse Stingers,Master Scientist/Expert Businessman,Ant-Man,"""Yellowjacket is one of the many heroic identities taken by Hank Pym in the comics. During his first time donning the Yellowjacket suit, Hank Pym's mental state greatly suffered due to the Pym particles affecting his brain chemistry, similar to the reasoning given for Cross's mental deterioration in the film.""/""In the comics, Darren Cross was a technology industrialist. His heart was failing, so he murdered homeless people and took their hearts to keep himself alive. Scott Lang fought Cross when he kidnapped Specialist Erica Sondheim, the only person who could cure Lang's daughter, Cassie Lang. When Lang and Cross fought, Cross died of a massive coronary. In response to his introduction in the Marvel Cinematic Universe, he was resurrected and eventually took up the mantle of Yellowjacket.""/""Cross's role as the Yellowjacket bears many similarities to Ultron's various depictions in the comics. In the film, Cross had a strained relationship with Pym which is very reminiscent to Ultron's relationship with Pym in the comics. When Cross questioned Hank Pym for pushing him away, Pym reasoned that he ""saw too much"" of himself in Cross. This is very similar to how Ultron's personality was based on Hank Pym in the comics, and it could also be referencing the fact that the Yellowjacket persona was one of Pym's many superhero identities. Furthermore in the Ultimate Marvel comics, Ultron was a super soldier robot that later gained sentience and decidedly assumed the Yellowjacket persona after rebelling against its creator, Hank Pym.""",Corey Stoll
Dr. Abraham Erskine,images/DrAbrahamErskine.png,None,Master Scientist,Captain America: The First Avenger/The Incredible Hulk (mentioned)/The Avengers (mentioned)/Spider-Man Homecoming(photograph)(unreleased),"""In the comics, Erskine went under the alias of Josef Reinstein in order to hide himself from Adolf Hitler and Baron Zemo, but no mention of his false name is made in Captain America: The First Avenger. However, this alias is seen on the cryo container in The Incredible Hulk.""",Josef Reinstein
Dr. Hank Pym,images/DrHankPym.jpg,Insect Manipulation,Genius-Level Intellect/Master Scientist,Thor/Ant-Man/Captain America: Civil War/Ant-Man and the Wasp,"""In the comics, Hank Pym, who is of similar age to the rest of the main characters of the Marvel Cinematic Universe, was one of the founding members of the Avengers, and the creator of Ultron. Ironically, he merged with his own creation, to prevent his creation's soul from destroying humanity.""/""Hank Pym, along with Odin, Scott Lang, Hawkeye and Frank Castle are the only superheroes in the Marvel Cinematic Universe to have children.""/""Hank Pym's identity as Yellowjacket from the comics was used by Darren Cross as the supervillain's name for the film.""",Michael Douglas
Emil Blonksy,images/EmilBlonksy.jpg,Artificially Enhanced Physiology/Retractable Skeletal Spikes,Advanced Military Operative/Expert Marksman,The Incredible Hulk,"""In the comics, Abomination is incapable of transforming back into Blonsky. Director Louis Leterrier had originally intended there to be a post-credits scene in The Incredible Hulk showing Blonsky, human once more, imprisoned and chained in a containment box, but this was ultimately not filmed.""",Tim Roth
Fandral,images/Fandral.jpg,Asgardian Physiology,Expert Combantant/Sword Mastery,Thor/Thor: The Dark World/Thor: Ragnarok,None,Zachary Levi/Joshua Dallas
Frigga,images/Frigga.png,Asgardian Physiology/Master Sorcerer,Expert Combatant,Thor/Thor: The Dark World/Thor: Ragnarok,"""In the comics, Frigga, also called Freyja, is a Vanir and is the adoptive mother of Thor and the biological mother of Odin's other sons, Tyr and Balder.""",Rene Russo
General Thaddeus 'Thunderbolt' Ross,images/GeneralThaddeusRoss.png,None,Master Tactician,The Incredible Hulk/Captain America: Civil War,"""In the comics, Ross was a general in the United States Air Force who eventually becomes a Hulk himself called Red Hulk. Ross was also the nephew of Jeffrey Mace.""",William Hurt
Happy Hogan,images/HappyHogan.png,None,Combatant,Iron Man/Iron Man 2/Iron Man 3/Spider-Man: Homecoming,"""Hogan's role of training Tony Stark in boxing during Iron Man 2 is a nod to his background as a former professional boxer in the comics, which is also how he earned his nickname because of his refusal to fight back.""",Jon Favreau
Heimdall,images/Heimdall.jpg,Asgardian Physiology/Transdimensional Communication,Master Combatant/Sword Mastery,Thor/Thor: The Dark World/Avengers: Age of Ultron/Thor: Ragnarok/Avengers: Infinity War,"""In the comics, Heimdall and Sif are brother and sister, and members of the Vanir. Although this relationship has not been explored in the movies, concept art exists portraying Sif as black, confirming that this relationship was originally propped for Thor.""/""In Norse mythology, Heimdall guarded the Bifrost, which the Vikings believed rainbows came from. Heimdall was predicted to kill and be killed by Loki during the doomsday scenario of Ragnarök.""/""Heimdall’s armor design in Thor: The Dark World is meant to represent his watch over the Nine Realms. The tree represents Yggdrasil and the amber jewel, being the same color of his eyes, represents him looking over the realms.""",Idris Elba
Hogun,images/Hogun.jpg,Superhuman,Expert Combatant/Mace Mastery,Thor/Thor:The Dark World/Thor: Ragnarok,"""In the comics, Hogun was not an Asgardian, but because he spent so much time with them he was treated as one.""",Tadanobu Asano
Hope van Dyne,images/HopevanDyne.jpg,Insect Manipulation,Genius-Level Intellect/Expert Businesswoman,Ant-Man,"""Hope van Dyne is the third character in the Marvel Cinematic Universe to have taken over the mantle of a former superhero, preceded by Scott Lang and Robbie Reyes.""",Evangeline Lilly
Howard Stark,images/HowardStark.png,None,Genius-level Intellect,Iron Man/Iron Man 2/Captain America: The First Avenger/The Avengers/Captain America: The Winter Soldier/The Avengers: Age of Ultron/Ant-Man/Captain America: Civil War/Spider-Man: Homecoming,"""Howard Stark kept a garage filled with Cadillacs.""",Dominic Cooper
Jane Foster,images/JaneFoster.jpg,None,Master Scientist,Thor/The Avengers/Thor: The Dark World/Avengers: Age of Ultron (mentioned)/Thor: Ragnarok (mentioned),"""In the comics, Jane Foster eventually took up the mantle of Thor after the Asgardian lost his ability to wield Mjølnir and was stripped of his powers.""",Natalie Portman
Jasper Sitwell,images/JasperSitwell.jpg,None,Expert Combatant/Master Spy,Thor/The Avengers/Captain America: The Winter Soldier,"""In the comics, Jasper Sitwell was a S.H.I.E.L.D. agent who worked closely with Black Widow and the Winter Soldier after the latter defected. He was eventually killed by a brainwashed Black Widow.""",Maximiliano Hernández
James Rhodes/War Machine,images/JamesRhodes.jpg,Armored Suit,Expert Pilot/Expert Tactician,Iron Man/Iron Man 2/Iron Man 3/Avengers: Age of Ultron/Captain America:Civil War/Spider-Man: Homecoming,"""In the comics, James Rhodes is a 1st Lieutenant in the Marine Corps, which alludes to the name War Machine.""",Don Cheadle/Terrence Howard
Justin Hammer,images/JustinHammer.jpg,None,Expert Engineer/Expert Businessman,Iron Man 2,"""In early storyboards, Hammer is killed by War Machine while he was controlled by Whiplash.""",Sam Rockwell
Loki,images/Loki.jpg,Frost Giant Physiology/Master Sorcerer,Arcane Lore/Master Manipulator,Thor/The Avengers/Thor: The Dark World/Avengers: Age of Ultron (mentioned)/Captain America: Civil War (mentioned)/Doctor Strange (mentioned)/Thor: Ragnarok/Avengers: Infinity War (unreleased),"""Despite being a Frost Giant, Loki is almost always referred to as an Asgardian. This may stem from having lived the majority of his life on Asgard.""",Tom Hiddleston
Maya Hansen,images/MayaHansen.jpg,None,Expert Scientist,Iron Man 3,None,Rebecca Hall
Nick Fury,images/NickFury.jpg,None,Master Tactician/Master Spy,Iron Man (post-credits scene)/The Incredible Hulk (mentioned)/Iron Man 2/Thor (post-credits scene)/Captain America: The First Avenger/The Avengers/Captain America: The Winter Soldier/Avengers: Age of Ultron/Captain Marvel (unreleased),"""Although most of the characters in the Marvel Cinematic Universe are based off of their mainstream counterparts, this Nick Fury is modeled after his Ultimate version, who is himself modeled after Samuel L. Jackson. The mainstream version of Nick Fury is an Italian American veteran of World War II, who would later be replaced by his illegitimate son, Nicholas Joseph Fury Jr, a character virtually identical to the Ultimate Nick Fury, following the success of the movies.""/""Fury's signature appears in the opening scene of The Incredible Hulk.""/""Nick Fury shares his birthday with his actor, Samuel L. Jackson. The year is different though, as Jackson was born in 1948, whereas Fury is supposedly listed as being born in 1951. This birthdate noticeably does not appear on his tombstone in ""Captain America 2: The Winter Soldier"", so it stands to reason that it may not be his real birthdate. Given his past as a spy and the fact that he will lie in order to protect the truth, it's not out of the question for him to lie about his age. With this in mind, it is also highly likely that the MCU version of Nick Fury is as old as his counterpart from the main Marvel comic book universe, that he, also like said counterpart, uses the Infinity Formula to age at a much slower rate, and that all of the info we've been given about his life before being the Director of S.H.I.E.L.D. is false. It's also highly likely that the MCU version of Timothy 'Dum Dum' Dugan, like his counterpart from the main Marvel comic book universe, is still alive due to using the Infinity Formula.""",Samuel L. Jackson
Obadiah Stane/Iron Monger,images/ObadiahStane.jpg,HUD Interface,Expert Businessman/Expert Engineer,Iron Man/Iron Man 2 (picture only)/Captain America: The Winter Soldier (mentioned),"""In the comics, Obadiah Stane was the head of his own company and not a part of Stark Industries, and also the first colleague of Norman Osborn, the first Green Goblin.""/""Originally, the Mandarin was the villain of Iron Man with Stane planned as the sequel's antagonist.""/""Stane is seen playing chess, which is a reference to his comic book alter ego leading a super villain team known as the Chessmen.""",Jeff Bridges
Odin,images/Odin.jpg,Asgardian Physiology/Odinforce,Leadership/Master Combatant,Thor/Thor:The Dark World/Thor: Ragnarok,"""In the comics, Odin sacrificed his right eye in order to obtain the knowledge to stop Ragnarök from occurring.""",Anthony Hopkins
Peggy Carter,images/PeggyCarter.jpg,None,Master Spy/Master Investigator,Captain America: The First Avenger/The Avengers/Captain America: The Winter Soldier/Avengers: Age of Ultron/Ant-Man/Captain America: Civil War,"""Peggy has two bullethole scars on her right shoulder.""",Hayley Atwell
Peter Parker/Spider-Man,images/PeterParker.jpg,Spider Physiology,Gifted Intelligence/Combatant,Ant-Man (mentioned)/Captain America: Civil War/Spider-Man: Homecoming/Avengers: Infinity War (unreleased),"""Only Tony Stark, Happy Hogan, Ned Leeds, Adrian Toomes and May Parker know Spider-Man's secret identity.""",Tom Holland
Professor Erik Selvig,images/ProfessorErikSelvig.jpg,None,Master Scientist,Thor/Thor:The Dark World/The Avengers/Avengers: Age of Ultron,"""When talking about S.H.I.E.L.D., Selvig tells Jane Foster he once had a friend, a specialist in Gamma radiation who disappeared after meeting the organization, clearly making a reference to Bruce Banner.""",Stellan Skarsgard
Quicksilver,images/Quicksilver.jpg,Superhuman Speed/Superhuman Reflexes,Bilingualism,Captain America: The Winter Solder/Avengers: Age of Ultron,"""In the comics, Quicksilver is a mutant and a founding member of the Brotherhood of Mutants, being initially identified as the son of Magneto (Erik Lehnsherr) and his then-wife Magda Lehnsherr (née Eisenhardt) in Vision and the Scarlet Witch #4 (1983), 19 years after Scarlet Witch and Quicksilver's first appearance. Magda leaves Erik while pregnant and takes sanctuary at Mount Wundagore in Transia, the home of the High Evolutionary, where she gives birth and later dies. The High Evolutionary then places them instead in the care of the Romani couple, Django and Marya Maximoff, who raise them as their own children. Prior to that, in Giant-Size Avengers #1 (1974), they were revealed to be the biological children of Golden Age superheroes The Whizzer and Miss America, a fact that was later retconned. In Avengers & X-Men: AXIS #7 (2014), it was revealed that Pietro and his sister have no blood ties to Magneto and are not related after all. In Uncanny Avengers #4 (2015), it is confirmed not only they are not related to Magneto but they are not even mutants, as the High Evolutionary genetically altered them as infants, giving them their powers, before returning them to their true parents, the Maximoffs.""/""Pietro was twelve minutes older than his sister.""/""Quicksilver is the first member of the Avengers to die in battle.""",Aaron Taylor-Johnson
Sam Wilson/Falcon,images/SamWilson.jpg,Flight/Enhanced Vision,Expert Acrobat/Expert Marksman,Captain America: The Winter Soldier/Avengers: Age of Ultron/Ant-Man/Captain America: Civil War,"""Falcon's first suit in Captain America: The Winter Soldier is more similar to the suit of his Ultimate comics variant than that of his Mainstream Universe version. His second suit was given some red and white coloring as a nod to the costume from the mainstream universe.""",Anthony Mackie
Savin,images/Savin.jpg,Superhuman Strength/Exothermic Manipulation,Marksman,Iron Man 3,None,James Badge Dale
Scarlet Witch,images/ScarletWitch.jpg,Psionics/Telepathy/Mental Manipulation,None,Captain America:The Winter Soldier/Avengers: Age of Ultron/Captain America: Civil War/Avengers: Infinity War (unreleased)/Avengers 4 (unreleased),"""In the comics, Wanda married Vision, and had two sons with him before their marriage dissolved.""",Elizabeth Olsen
Scott Lang/Ant Man,images/ScottLang.png,Size Manipulation/Insect Manipulation,Gifted Intelligence/Expert Thief,Ant-Man/Captain America: Civil War/Spider-Man: Homecoming (video footage)/Avengers: Infinity War (unreleased)/Ant-Man and the Wasp (unreleased)/Avengers 4 (unreleased),"""In the comics, Scott Lang is the second individual to take up the Ant-Man mantle with the approval of Hank Pym, after he originally steals the Ant-Man Suit in order to take care of his daughter Cassandra's medical bills. He also had a relationship with Jessica Jones.""/""Ant-Man, along with Hulk and Spider-Man, is one of only three protagonists to defeat the main antagonist of the first film he debuted without any help from any ally (or an object such as the Tesseract in Captain America's case). He is also the first protagonist to have solely and intentionally killed the villain.""/""According to Andy Park, in the early stages of development of Captain America: Civil War, Ant-Man was meant to side with Iron Man during the Avengers Civil War, like Hank Pym in the original Civil War comic book storyline. This was later changed as the script evolved.""",Paul Rudd
Sharon Carter,images/SharonCarter.png,None,Expert Spy/Expert Marksman,Captain America: The Winter Soldier/Captain America: Civil War,"""In the comics, Sharon Carter was originally written as Peggy Carter's younger sister, but was later retconned as her niece.""/""In Captain America: The Winter Soldier, Sharon's last name and relation to Peggy were not established, though her last name was revealed in a promotional poster.""/""Sharon Carter's phone number is supposedly +44 020 7946 0722.""",Emily VanCamp
Sif,images/Sif.jpg,Asgardian Physiology,Master Combatant/Master Swordswoman,Thor/Thor: The Dark World/Thor: Ragnarok (mentioned),"""In the comics, Sif is Thor's lover and main love interest, not just a friend or a teammate, being a direct adaptation of Norse mythology, where Sif is the wife of Thor. Her feelings for Thor are hinted in the end of the first film when she looks at him talking with his father, and also when Lorelei taunts her during their fight. Another reference was when Sif had lost her memory, but when Phil Coulson mentioned Thor, Sif said that though she did not know the name, it made her want to smile.""/""Also in the comics, Heimdall and Sif are brother and sister. Although this relationship has not been explored in the movies, concept art exists of a black Sif, confirming that this relationship was originally propped for Thor.""/""In the non-canon comic Captain America & Thor: Avengers!, Sif helps her friends to free Fandral who is captured by the Dark Elves led by Queen Alflyse.""",Jaimie Alexander
The Mandarin,images/TheMandarin.jpg,None,None,Iron Man 3 (mentioned),None,None
