hero1,hero2
Tony Stark/Iron Man,Happy Hogan
Tony Stark/Iron Man,Obadiah Stane/Iron Monger
Tony Stark/Iron Man,Jim Rhodes
Tony Stark/Iron Man,Virginia 'Pepper' Potts
Tony Stark/Iron Man,Nick Fury
Tony Stark/Iron Man,Agent Phil Coulson
Tony Stark/Iron Man,Christine Everhart
Happy Hogan,Obadiah Stane/Iron Monger
Happy Hogan,Jim Rhodes
Happy Hogan,Virginia 'Pepper' Potts
Happy Hogan,Nick Fury
Happy Hogan,Agent Phil Coulson
Happy Hogan,Christine Everhart
Obadiah Stane/Iron Monger,Jim Rhodes
Obadiah Stane/Iron Monger,Virginia 'Pepper' Potts
Obadiah Stane/Iron Monger,Nick Fury
Obadiah Stane/Iron Monger,Agent Phil Coulson
Obadiah Stane/Iron Monger,Christine Everhart
Jim Rhodes,Virginia 'Pepper' Potts
Jim Rhodes,Nick Fury
Jim Rhodes,Agent Phil Coulson
Jim Rhodes,Christine Everhart
Virginia 'Pepper' Potts,Nick Fury
Virginia 'Pepper' Potts,Agent Phil Coulson
Virginia 'Pepper' Potts,Christine Everhart
Nick Fury,Agent Phil Coulson
Nick Fury,Christine Everhart
Agent Phil Coulson,Christine Everhart
Bruce Banner/Hulk,General Thaddeus 'Thunderbolt' Ross
Bruce Banner/Hulk,Emil Blonksy
Bruce Banner/Hulk,Betty Ross
General Thaddeus 'Thunderbolt' Ross,Emil Blonksy
General Thaddeus 'Thunderbolt' Ross,Betty Ross
Emil Blonksy,Betty Ross
Happy Hogan,Black Widow
Virginia 'Pepper' Potts,Black Widow
James Rhodes,Black Widow
Whiplash,Black Widow
Justin Hammer,Black Widow
Nick Fury,Black Widow
Agent Phil Coulson,Black Widow
Whiplash,Happy Hogan
Whiplash,Virginia 'Pepper' Potts
Whiplash,James Rhodes
Whiplash,Black Widow
Whiplash,Justin Hammer
Whiplash,Nick Fury
Whiplash,Agent Phil Coulson
Thor,Fandral
Thor,Sif
Thor,Frigga
Thor,Darcy
Thor,Heimdall
Thor,Hogun
Thor,Odin
Thor,Loki
Thor,Jane Foster
Fandral,Sif
Fandral,Frigga
Fandral,Darcy
Fandral,Heimdall
Fandral,Hogun
Fandral,Odin
Fandral,Loki
Fandral,Jane Foster
Sif,Frigga
Sif,Darcy
Sif,Heimdall
Sif,Hogun
Sif,Odin
Sif,Loki
Sif,Jane Foster
Frigga,Darcy
Frigga,Heimdall
Frigga,Hogun
Frigga,Odin
Frigga,Loki
Frigga,Jane Foster
Darcy,Heimdall
Darcy,Hogun
Darcy,Odin
Darcy,Loki
Darcy,Jane Foster
Heimdall,Hogun
Heimdall,Odin
Heimdall,Loki
Heimdall,Jane Foster
Hogun,Odin
Hogun,Loki
Hogun,Jane Foster
Odin,Loki
Odin,Jane Foster
Loki,Jane Foster
Steve Rogers/Captain America,Nick Fury
Steve Rogers/Captain America,Bucky
Steve Rogers/Captain America,Peggy Carter
Steve Rogers/Captain America,The Red Skull
Steve Rogers/Captain America,Dr. Abraham Erskine
Steve Rogers/Captain America,Col. Chester Phillips
Steve Rogers/Captain America,Howard Stark
Bucky,Peggy Carter
Bucky,The Red Skull
Bucky,Dr. Abraham Erskine
Bucky,Col. Chester Phillips
Bucky,Howard Stark
Peggy Carter,The Red Skull
Peggy Carter,Dr. Abraham Erskine
Peggy Carter,Col. Chester Phillips
Peggy Carter,Howard Stark
The Red Skull,Dr. Abraham Erskine
The Red Skull,Col. Chester Phillips
The Red Skull,Howard Stark
Dr. Abraham Erskine,Col. Chester Phillips
Dr. Abraham Erskine,Howard Stark
Col. Chester Phillips,Howard Stark
Tony Stark/Iron Man,Howard Stark
Steve Rogers/Captain America,Black Widow
Steve Rogers/Captain America,Thor
Steve Rogers/Captain America,Tony Stark/Iron Man
Steve Rogers/Captain America,Bruce Banner/Hulk
Steve Rogers/Captain America,Hawkeye
Steve Rogers/Captain America,Loki
Steve Rogers/Captain America,Professor Erik Selvig
Steve Rogers/Captain America,Agent Phil Coulson
Black Widow,Thor
Black Widow,Tony Stark/Iron Man
Black Widow,Bruce Banner/Hulk
Black Widow,Hawkeye
Black Widow,Loki
Black Widow,Professor Erik Selvig
Black Widow,Agent Phil Coulson
Thor,Tony Stark/Iron Man
Thor,Bruce Banner/Hulk
Thor,Hawkeye
Thor,Loki
Thor,Professor Erik Selvig
Thor,Agent Phil Coulson
Tony Stark/Iron Man,Bruce Banner/Hulk
Tony Stark/Iron Man,Hawkeye
Tony Stark/Iron Man,Loki
Tony Stark/Iron Man,Professor Erik Selvig
Tony Stark/Iron Man,Agent Phil Coulson
Bruce Banner/Hulk,Hawkeye
Bruce Banner/Hulk,Loki
Bruce Banner/Hulk,Professor Erik Selvig
Bruce Banner/Hulk,Agent Phil Coulson
Hawkeye,Loki
Hawkeye,Professor Erik Selvig
Hawkeye,Agent Phil Coulson
Loki,Professor Erik Selvig
Loki,Agent Phil Coulson
Professor Erik Selvig,Agent Phil Coulson
Nick Fury,Black Widow
Nick Fury,Thor
Nick Fury,Tony Stark/Iron Man
Nick Fury,Bruce Banner/Hulk
Nick Fury,Hawkeye
Nick Fury,Loki
Nick Fury,Professor Erik Selvig
Nick Fury,Agent Phil Coulson
