hero1,hero2
"IRON MAN/TONY STARK ","CAPTAIN AMERICA"
"IRON MAN/TONY STARK ","THUNDERSTRIKE/ERIC K"
"IRON MAN/TONY STARK ","NOVA/RICHARD RIDER"
"IRON MAN/TONY STARK ","GALACTUS/GALAN"
"IRON MAN/TONY STARK ","WONDER MAN/SIMON WIL"
"IRON MAN/TONY STARK ","DEATHLOK III/MICHAEL"
"IRON MAN/TONY STARK ","OBLIVION"
"IRON MAN/TONY STARK ","WOLVERINE/LOGAN "
"IRON MAN/TONY STARK ","SHE-HULK/JENNIFER WA"
"IRON MAN/TONY STARK ","SILVER SURFER/NORRIN"
"IRON MAN/TONY STARK ","VISION "
"IRON MAN/TONY STARK ","PSYLOCKE/ELISABETH B"
"IRON MAN/TONY STARK ","MARVEL GIRL/JEAN GRE"
"IRON MAN/TONY STARK ","STORM/ORORO MUNROE S"
"IRON MAN/TONY STARK ","ETERNITY/ADAM QADMON"
"IRON MAN/TONY STARK ","KISMET/J'RIDIA STARD"
"IRON MAN/TONY STARK ","NIGHT THRASHER/DUANE"
"IRON MAN/TONY STARK ","IN-BETWEENER"
"IRON MAN/TONY STARK ","MR. FANTASTIC/REED R"
"IRON MAN/TONY STARK ","ANGEL/WARREN KENNETH"
"IRON MAN/TONY STARK ","DEATH"
"IRON MAN/TONY STARK ","MASTER ORDER"
